"bot","username","cnt"
false,"2001:8A0:C232:3001:B495:E231:9DCE:6C58","3"
false,"Auntof6","3"
false,"CB2288","3"
false,"95.238.9.214","3"
false,"Buster7","3"
false,"Slånbär","3"
false,"Alvin Seville","3"
false,"Susann Schweden","3"
false,"2001:1388:18C3:ED09:254E:A8E8:F00E:F1B2","3"
false,"Seader","3"
false,"105.164.201.224","3"
false,"SSastry (WMF)","3"
false,"Rusted AutoParts","3"
false,"Dakeyluca","3"
false,"2602:47:23B1:6600:49D6:1F19:4F19:48AD","3"
false,"Jüppken","3"
false,"Hektor Absurdus","3"
false,"Borodun","3"
false,"Gentenaar~nlwiki","3"
false,"Exj","3"
false,"EiderGoDown","3"
false,"A.Nawfel","3"
false,"Zevener in Ostwestfalen","3"
false,"2600:1008:B025:1E39:9A0:2F23:AA58:9567","3"
false,"דן וינקלר","3"
false,"212.112.149.90","3"
false,"Lance de Castilla","3"
false,"Nonenmac","3"
false,"Umfront","3"
false,"蘭斯特","3"
false,"Russian Rocky","3"
false,"Azulino","3"
false,"128.140.193.238","3"
false,"Eurodyne","3"
false,"Windino","3"
false,"Magic54321","3"
false,"7&6=thirteen","3"
false,"Dhtwiki","3"
false,"95.88.23.101","3"
false,"Graphikus","3"
false,"69.172.179.58","3"
false,"AntoniBM","3"
false,"90.178.29.101","3"
false,"Walter Görlitz","3"
false,"Terreretè","3"
false,"Netoweto","3"
false,"JukoFF","3"
false,"DadaNeem","3"
false,"98.197.198.46","3"
false,"87.118.138.231","3"
false,"Pantos0711","3"
false,"Lin4671","3"
false,"Kalki","3"
false,"Ulflarsen","3"
false,"Rzuwig","3"
false,"172.3.212.69","3"
false,"Tradedia","3"
false,"Harun akbulut","3"
false,"Rozmador","3"
false,"Sarita98","3"
false,"DisillusionedBitterAndKnackered","3"
false,"Jcwf","3"
false,"Bogdanov-62","3"
false,"DPdH","3"
false,"Soetermans","3"
false,"SuperVirtual","3"
false,"Floro Flores","3"
false,"0000ff","3"
false,"Abecido","3"
false,"David Eppstein","3"
false,"XenonX3","3"
false,"Joseasensio83","3"
false,"Red123","3"
false,"Brill58","3"
false,"JoeyPknowsalotaboutthat","3"
false,"Nicowa","3"
false,"Jorge Ruifer","3"
false,"99.25.123.67","3"
false,"SchwanzGarage3000","3"
false,"AnomieBOT","3"
false,"Ssaomm","3"
false,"Peter James","3"
false,"Brett","3"
false,"Irn","3"
false,"Vcesnak","3"
false,"Michael Devore","3"
false,"Kasir","3"
false,"Dr-Victor-von-Doom","3"
false,"3Jo7","3"
false,"Xxanthippe","3"
false,"Seryo93","3"
false,"128.73.237.140","3"
false,"8Dodo8","3"
false,"Another Believer","3"
false,"Zazaattila55","3"
false,"83.37.70.145","3"
false,"Conde Edmond Dantès","3"
false,"John Carter","3"
false,"Gusama Romero","3"
false,"CianiT55","3"
false,"Povilasz","3"
false,"Mudwater","3"
false,"Camelia.boban","3"
false,"Salgo60","3"
false,"188.218.87.117","3"
false,"Mattes","3"
false,"Murraydaw","3"
false,"Bo hessin","3"
false,"MrBenC88","3"
false,"MB","3"
false,"Deflov","3"
false,"Curlymanjaro","3"
false,"174.59.44.27","3"
false,"Karl Gruber","3"
false,"173.54.171.106","3"
false,"Laseptiemeobsession","3"
false,"Cameronhurd","3"
false,"Alpha 09","3"
false,"Prajaman","3"
false,"کوروش تهرانی","3"
false,"Humboldt","3"
false,"Efloean","3"
false,"Bounè rodzo","3"
false,"Per utramque cavernam","3"
false,"69.161.87.240","3"
false,"Jekiwc","3"
false,"Daniel Marinho da Costa","3"
false,"Secondarywaltz","3"
false,"93.73.82.238","3"
false,"GWFrog","3"
false,"Gepetito","3"
false,"Ewan2","3"
false,"Andrushinas1985","3"
false,"KDDLB","3"
false,"Johnny T","3"
false,"46.25.209.118","3"
false,"2605:E000:7C9D:7B00:E01E:6072:DDFF:BBD7","3"
false,"Adamt","3"
false,"Michael Romanov","3"
false,"Nathanmileslund","3"
false,"SQLBot","3"
false,"2A02:1811:41E:DB00:BC7A:D2B3:9877:688D","3"
false,"DerTorx","3"
false,"Ernestobanpiroa","2"
false,"A6do0","2"
false,"Slawkomuzykant1980","2"
false,"Bradv","2"
false,"曾禰越後守","2"
false,"Lector d Wiki","2"
false,"JasonAHewson","2"
false,"Cookienr272","2"
false,"98.172.118.91","2"
false,"Agentfabi","2"
false,"2003:71:4E16:4B54:9C25:1173:43A8:7AE4","2"
false,"104.52.129.34","2"
false,"AHZ","2"
false,"BagInACampfire","2"
false,"Oravrattas","2"
false,"Krdbot","2"
false,"PatruBOT","2"
false,"Alejoortizarias","2"
false,"Theo Oppewal","2"
false,"Hypergio","2"
false,"JaviMad","2"
false,"5.148.222.19","2"
false,"86.20.228.130","2"
false,"Joe Vitale 5","2"
false,"CRussG","2"
false,"178.165.104.80","2"
false,"2A02:1811:BD80:D400:4D7C:B0E7:4B81:259F","2"
false,"Kingofcruiserweight","2"
false,"CelestialKeystone","2"
false,"PM3","2"
false,"Damian Yerrick","2"
false,"WereSpielChequers","2"
false,"Serhio Magpie","2"
false,"Phzh","2"
false,"HerrAdams","2"
false,"Udha","2"
false,"Karimkennedy","2"
false,"Hans Topo1993","2"
false,"Huldra","2"
false,"Keat","2"
false,"Ulisse","2"
false,"2600:1700:ACC0:B6B0:CC7A:DDF1:9DD8:D56F","2"
false,"Add92","2"
false,"79.106.209.250","2"
false,"Ghirlandajo","2"
false,"Axel musica","2"
false,"Sanghino","2"
false,"Neojacob","2"
false,"91.248.185.54","2"
false,"DumSS","2"
false,"Wikimostafa","2"
false,"Jezzminie","2"
false,"Mariacricket","2"
false,"Ragomego","2"
false,"109.73.220.147","2"
false,"Erutuon","2"
false,"Harry8","2"
false,"MackyBeth","2"
false,"Itsnik14","2"
false,"2800:200:E800:3F21:19E9:472A:7F36:2992","2"
false,"Bluemel1","2"
false,"Bcp67","2"
false,"Mojackjutaily","2"
false,"185.59.246.102","2"
false,"Voltmetro","2"
false,"179.55.93.175","2"
false,"Robert Ferrieux","2"
false,"86.154.144.111","2"
false,"Jmv","2"
false,"Karol232","2"
false,"Mrceleb2007","2"
false,"Воевода","2"
false,"83.8.6.31","2"
false,"Mgalicic","2"
false,"X1\","2"
false,"41.251.83.106","2"
false,"Mitzi.humphrey","2"
false,"Gian Felicino 6","2"
false,"Btphelps","2"
false,"Cynthia5473","2"
false,"Alkhalde2022","2"
false,"Divertículo lloroso","2"
false,"Candomas","2"
false,"Chereck","2"
false,"Cristdan223","2"
false,"BrownHairedGirl","2"
false,"L'amateur d'aéroplanes","2"
false,"はとむね","2"
false,"2600:8806:1300:4E0:B510:BF9E:7CEE:8CE8","2"
false,"SEM","2"
false,"Pietaster","2"
false,"2.33.103.159","2"
false,"124.148.69.89","2"
false,"Secsspistols","2"
false,"Tarawa1943","2"
false,"United Union","2"
false,"SpesBona","2"
false,"King Prithviraj II","2"
false,"121.121.117.141","2"
false,"Ldhank","2"
false,"2A02:1810:C426:6C00:29EB:A498:460E:689C","2"
false,"Raafat","2"
false,"Dmoore5556","2"
false,"Locker233","2"
false,"Shelbystripes","2"
false,"Liam Cihangir Junior","2"
false,"Olevy","2"
false,"Arroser","2"
false,"Deathawk","2"
false,"123.133.104.225","2"
false,"Nawider","2"
false,"Fredmans Episteln","2"
false,"TSRL","2"
false,"Mateo K 01","2"
false,"BenoitBertheSiward","2"
false,"HRvO","2"
false,"Lydio","2"
false,"36.230.79.22","2"
false,"Mozarteus","2"
false,"185.89.218.243","2"
false,"181.192.201.40","2"
false,"Funandtrvl","2"
false,"2602:306:8331:96B0:A163:2322:91C8:38D3","2"
false,"Lololololol54321","2"
false,"2600:1700:F930:7040:E1D7:D1BE:A5D2:E1D7","2"
false,"DiplomatTesterMan","2"
false,"Mediocre Legacy","2"
false,"Jacques Ballieu","2"
false,"213.24.133.209","2"
false,"81.65.174.190","2"
false,"Abbastraea","2"
false,"Disko132","2"
false,"Catrin","2"
false,"5.169.7.55","2"
false,"41.102.25.92","2"
false,"Дми88","2"
false,"Hannumatti","2"
false,"Leafman800","2"
false,"JRagusa","2"
false,"HoustonAstrosFan97","2"
false,"АРГО-67","2"
false,"2.51.22.88","2"
false,"Renamerr","2"
false,"KidMotion","2"
false,"Ahwiv","2"
false,"Der.metzger2009","2"
false,"Владислав Пихович","2"
false,"80.216.44.108","2"
false,"Gokimines","2"
false,"Jcornelius","2"
false,"95.148.14.209","2"
false,"Zeisterre","2"
false,"104.220.165.132","2"
false,"Fsmatovu","2"
false,"Braniewiak","2"
false,"SGT1998","2"
false,"FDo64","2"
false,"2605:E000:151E:C0EB:0:E921:46FA:32B7","2"
false,"Reptilien.19831209BE1","2"
false,"Afavoritaweb","2"
false,"Pelpar","2"
false,"Nycdi","2"
false,"John5962","2"
false,"2602:304:CDDA:76A0:159E:36AE:EB3A:FDB6","2"
false,"Gbpa005","2"
false,"190.236.206.151","2"
false,"YANIVST1","2"
false,"Sitenl","2"
false,"Riggwelter","2"
false,"Sheila1988","2"
false,"Martien19","2"
false,"Lredoglia","2"
false,"Томасина","2"
false,"130.43.221.253","2"
false,"محمد القنة","2"
false,"Tvtonightokc","2"
false,"Wolan","2"
false,"Shanelly 15","2"
false,"Frodar","2"
